State,County,Votes_Left,Votes_Right
Delaware,Kent County,40976,44518
Delaware,New Castle County,87685,194238
Delaware,Sussex County,71196,56657
District of Columbia,District of Columbia,1149,29509
District of Columbia,Ward 2,2365,24247
District of Columbia,Ward 3,2972,33584
District of Columbia,Ward 4,1467,35117
District of Columbia,Ward 5,1416,36585
District of Columbia,Ward 6,3360,44699
District of Columbia,Ward 7,885,30253
District of Columbia,Ward 8,835,24567
Florida,Alachua County,50891,89527
Florida,Baker County,11911,2037
Florida,Bay County,65993,25538
Florida,Bradford County,10334,3160
Florida,Brevard County,207700,148403
Florida,Broward County,332960,617689
Florida,Calhoun County,5269,1206
Florida,Charlotte County,73202,42240
Florida,Citrus County,65230,27049
Florida,Clay County,84422,38248
Florida,Collier County,128820,77529
Florida,Columbia County,23819,8900
Florida,DeSoto County,8292,4249
Florida,Dixie County,6757,1364
Florida,Duval County,233316,251952
Florida,Escambia County,96573,70824
Florida,Flagler County,42991,28124
Florida,Franklin County,4675,2118
Florida,Gadsden County,7461,16139
Florida,Gilchrist County,7893,1700
Florida,Glades County,3781,1384
Florida,Gulf County,6111,1985
Florida,Hamilton County,3811,1959
Florida,Hardee County,6120,2291
Florida,Hendry County,7898,4925
Florida,Hernando County,70321,37446
Florida,Highlands County,34787,16861
Florida,Hillsborough County,326158,374714
Florida,Holmes County,8074,924
Florida,Indian River County,58797,37801
Florida,Jackson County,15466,6749
Florida,Jefferson County,4474,3893
Florida,Lafayette County,3126,507
Florida,Lake County,125687,83273
Florida,Lee County,232075,156957
Florida,Leon County,57384,103364
Florida,Levy County,16721,6189
Florida,Liberty County,2846,693
Florida,Madison County,5576,3747
Florida,Manatee County,124827,90007
Florida,Marion County,127744,74802
Florida,Martin County,61133,36873
Florida,Miami-Dade County,532460,617289
Florida,Monroe County,25668,21848
Florida,Nassau County,42502,15542
Florida,Okaloosa County,79633,34165
Florida,Okeechobee County,11460,4380
Florida,Orange County,245162,394602
Florida,Osceola County,73373,97157
Florida,Palm Beach County,333927,432117
Florida,Pasco County,179343,118767
Florida,Pinellas County,275949,277191
Florida,Polk County,194271,144775
Florida,Putnam County,25496,10512
Florida,St. Johns County,110886,63808
Florida,St. Lucie County,86748,84005
Florida,Santa Rosa County,77306,27560
Florida,Sarasota County,148065,119892
Florida,Seminole County,125035,132213
Florida,Sumter County,62753,29326
Florida,Suwannee County,16387,4480
Florida,Taylor County,7725,2288
Florida,Union County,5130,1052
Florida,Volusia County,173544,130395
Florida,Wakulla County,12868,5346
Florida,Walton County,32924,10333
Florida,Washington County,9869,2344
Georgia,Appling County,6526,1779
Georgia,Atkinson County,2300,825
Georgia,Bacon County,4018,625
Georgia,Baker County,897,652
Georgia,Baldwin County,8903,9140
Georgia,Banks County,7795,932
Georgia,Barrow County,26794,10448
Georgia,Bartow County,37623,12053
Georgia,Ben Hill County,4110,2392
Georgia,Berrien County,6409,1268
Georgia,Bibb County,26506,43234
Georgia,Bleckley County,4328,1311
Georgia,Brantley County,6991,699
Georgia,Brooks County,4260,2790
Georgia,Bryan County,14244,6739
Georgia,Bulloch County,18386,11243
Georgia,Burke County,5400,5209
Georgia,Butts County,8403,3271
Georgia,Calhoun County,923,1259
Georgia,Camden County,15251,7967
Georgia,Candler County,3129,1257
Georgia,Carroll County,37476,16238
Georgia,Catoosa County,25142,6927
Georgia,Charlton County,3419,1102
Georgia,Chatham County,53173,78128
Georgia,Chattahoochee County,879,667
Georgia,Chattooga County,8064,1854
Georgia,Cherokee County,99474,42683
Georgia,Clarke County,14385,35882
Georgia,Clay County,637,790
Georgia,Clayton County,15671,94365
Georgia,Clinch County,2105,747
Georgia,Cobb County,164965,221234
Georgia,Coffee County,10532,4463
Georgia,Colquitt County,11776,4185
Georgia,Columbia County,49952,29175
Georgia,Cook County,4900,2059
Georgia,Coweta County,51405,24072
Georgia,Crawford County,4428,1615
Georgia,Crisp County,4982,2980
Georgia,Dade County,6066,1261
Georgia,Dawson County,13393,2486
Georgia,Decatur County,6758,4780
Georgia,DeKalb County,57993,305197
Georgia,Dodge County,5839,2170
Georgia,Dooly County,2159,1911
Georgia,Dougherty County,10419,24407
Georgia,Douglas County,25308,42609
Georgia,Early County,2719,2437
Georgia,Echols County,1256,167
Georgia,Effingham County,23340,7706
Georgia,Elbert County,6226,2879
Georgia,Emanuel County,6551,2884
Georgia,Evans County,2888,1324
Georgia,Fannin County,12144,2571
Georgia,Fayette County,36316,31863
Georgia,Floyd County,27059,10959
Georgia,Forsyth County,85081,42177
Georgia,Franklin County,9066,1593
Georgia,Fulton County,135043,373569
Georgia,Gilmer County,13382,2905
Georgia,Glascock County,1403,155
Georgia,Glynn County,25581,15857
Georgia,Gordon County,19405,4384
Georgia,Grady County,7027,3608
Georgia,Greene County,7068,4088
Georgia,Gwinnett County,166016,241140
Georgia,Habersham County,16616,3559
Georgia,Hall County,64105,25002
Georgia,Hancock County,1159,2985
Georgia,Haralson County,12326,1792
Georgia,Harris County,14319,5457
Georgia,Hart County,9464,3157
Georgia,Heard County,4515,823
Georgia,Henry County,48187,73276
Georgia,Houston County,41468,32149
Georgia,Irwin County,3134,1008
Georgia,Jackson County,29497,7642
Georgia,Jasper County,5822,1761
Georgia,Jeff Davis County,4695,1028
Georgia,Jefferson County,3537,4061
Georgia,Jenkins County,2161,1266
Georgia,Johnson County,2850,1222
Georgia,Jones County,9965,4888
Georgia,Lamar County,6322,2612
Georgia,Lanier County,2509,1019
Georgia,Laurens County,14479,8048
Georgia,Lee County,11998,4556
Georgia,Liberty County,7944,13051
Georgia,Lincoln County,3175,1432
Georgia,Long County,3528,2033
Georgia,Lowndes County,25520,19832
Georgia,Lumpkin County,12160,3122
Georgia,McDuffie County,6169,4168
Georgia,McIntosh County,4016,2612
Georgia,Macon County,1783,2857
Georgia,Madison County,11146,3365
Georgia,Marion County,2275,1311
Georgia,Meriwether County,6524,4287
Georgia,Miller County,2066,749
Georgia,Mitchell County,4933,3990
Georgia,Monroe County,11060,4384
Georgia,Montgomery County,2959,976
Georgia,Morgan County,8228,3355
Georgia,Murray County,12943,2302
Georgia,Muscogee County,29949,49201
Georgia,Newton County,23867,29781
Georgia,Oconee County,16594,8160
Georgia,Oglethorpe County,5591,2435
Georgia,Paulding County,54460,29658
Georgia,Peach County,6502,5920
Georgia,Pickens County,14075,2808
Georgia,Pierce County,7899,1099
Georgia,Pike County,9124,1503
Georgia,Polk County,13589,3658
Georgia,Pulaski County,2805,1217
Georgia,Putnam County,8291,3448
Georgia,Quitman County,604,497
Georgia,Rabun County,7474,1984
Georgia,Randolph County,1391,1671
Georgia,Richmond County,26707,58776
Georgia,Rockdale County,12990,31199
Georgia,Schley County,1800,462
Georgia,Screven County,3915,2661
Georgia,Seminole County,2607,1251
Georgia,Spalding County,17337,11356
Georgia,Stephens County,9368,2385
Georgia,Stewart County,801,1182
Georgia,Sumter County,5732,6318
Georgia,Talbot County,1390,2113
Georgia,Taliaferro County,360,561
Georgia,Tattnall County,6048,2059
Georgia,Taylor County,2418,1387
Georgia,Telfair County,2822,1480
Georgia,Terrell County,2004,2376
Georgia,Thomas County,12954,8708
Georgia,Tift County,10784,5322
Georgia,Toombs County,7872,2939
Georgia,Towns County,6384,1550
Georgia,Treutlen County,2101,952
Georgia,Troup County,18097,11542
Georgia,Turner County,2349,1410
Georgia,Twiggs County,2368,2040
Georgia,Union County,12638,2801
Georgia,Upson County,8602,4201
Georgia,Walker County,23166,5764
Georgia,Walton County,37590,12609
Georgia,Ware County,9930,4249
Georgia,Warren County,1177,1488
Georgia,Washington County,4663,4730
Georgia,Wayne County,9987,2687
Georgia,Webster County,748,639
Georgia,Wheeler County,1583,688
Georgia,White County,12222,2411
Georgia,Whitfield County,25636,10670
Georgia,Wilcox County,2403,862
Georgia,Wilkes County,2823,2159
Georgia,Wilkinson County,2664,2075
Georgia,Worth County,6826,2395
Hawaii,Hawaii County,26851,58683
Hawaii,Honolulu County,136061,238601
Hawaii,Kauai County,11579,21217
Hawaii,Maui County,22111,47301
Idaho,Ada County,130699,120539
Idaho,Adams County,1941,591
Idaho,Bannock County,23331,14682
Idaho,Bear Lake County,2814,350
Idaho,Benewah County,3878,977
Idaho,Bingham County,15295,4124
Idaho,Blaine County,4031,8919
Idaho,Boise County,3495,1214
