State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Delaware,Kent County,40976,44518,7,0.007
Delaware,New Castle County,87685,194238,11,0.004
Delaware,Sussex County,71196,56657,3,0.002
District of Columbia,District of Columbia,1149,29509,27,0.080
District of Columbia,Ward 2,2365,24247,0,0.000
District of Columbia,Ward 3,2972,33584,0,0.000
District of Columbia,Ward 4,1467,35117,0,0.000
District of Columbia,Ward 5,1416,36585,0,0.000
District of Columbia,Ward 6,3360,44699,0,0.000
District of Columbia,Ward 7,885,30253,0,0.000
District of Columbia,Ward 8,835,24567,0,0.000
Florida,Alachua County,50891,89527,5,0.003
Florida,Baker County,11911,2037,1,0.007
Florida,Bay County,65993,25538,8,0.008
Florida,Bradford County,10334,3160,2,0.013
Florida,Brevard County,207700,148403,23,0.006
Florida,Broward County,332960,617689,47,0.004
Florida,Calhoun County,5269,1206,1,0.014
Florida,Charlotte County,73202,42240,5,0.004
Florida,Citrus County,65230,27049,8,0.008
Florida,Clay County,84422,38248,5,0.004
Florida,Collier County,128820,77529,3,0.001
Florida,Columbia County,23819,8900,3,0.008
Florida,DeSoto County,8292,4249,0,0.000
Florida,Dixie County,6757,1364,2,0.022
Florida,Duval County,233316,251952,47,0.009
Florida,Escambia County,96573,70824,12,0.007
Florida,Flagler County,42991,28124,1,0.001
Florida,Franklin County,4675,2118,0,0.000
Florida,Gadsden County,7461,16139,1,0.004
Florida,Gilchrist County,7893,1700,1,0.009
Florida,Glades County,3781,1384,0,0.000
Florida,Gulf County,6111,1985,2,0.022
Florida,Hamilton County,3811,1959,0,0.000
Florida,Hardee County,6120,2291,0,0.000
Florida,Hendry County,7898,4925,1,0.007
Florida,Hernando County,70321,37446,10,0.008
Florida,Highlands County,34787,16861,4,0.007
Florida,Hillsborough County,326158,374714,34,0.004
Florida,Holmes County,8074,924,1,0.010
Florida,Indian River County,58797,37801,4,0.004
Florida,Jackson County,15466,6749,2,0.008
Florida,Jefferson County,4474,3893,0,0.000
Florida,Lafayette County,3126,507,0,0.000
Florida,Lake County,125687,83273,13,0.006
Florida,Lee County,232075,156957,11,0.003
Florida,Leon County,57384,103364,15,0.008
Florida,Levy County,16721,6189,1,0.004
Florida,Liberty County,2846,693,0,0.000
Florida,Madison County,5576,3747,0,0.000
Florida,Manatee County,124827,90007,13,0.005
Florida,Marion County,127744,74802,9,0.004
Florida,Martin County,61133,36873,3,0.003
Florida,Miami-Dade County,532460,617289,83,0.007
Florida,Monroe County,25668,21848,3,0.006
Florida,Nassau County,42502,15542,8,0.013
Florida,Okaloosa County,79633,34165,6,0.005
Florida,Okeechobee County,11460,4380,2,0.011
Florida,Orange County,245162,394602,39,0.006
Florida,Osceola County,73373,97157,4,0.002
Florida,Palm Beach County,333927,432117,27,0.003
Florida,Pasco County,179343,118767,12,0.004
Florida,Pinellas County,275949,277191,33,0.005
Florida,Polk County,194271,144775,22,0.006
Florida,Putnam County,25496,10512,7,0.018
Florida,St. Johns County,110886,63808,8,0.004
Florida,St. Lucie County,86748,84005,10,0.005
Florida,Santa Rosa County,77306,27560,5,0.004
Florida,Sarasota County,148065,119892,7,0.002
Florida,Seminole County,125035,132213,6,0.002
Florida,Sumter County,62753,29326,3,0.003
Florida,Suwannee County,16387,4480,0,0.000
Florida,Taylor County,7725,2288,1,0.009
Florida,Union County,5130,1052,0,0.000
Florida,Volusia County,173544,130395,28,0.008
Florida,Wakulla County,12868,5346,0,0.000
Florida,Walton County,32924,10333,1,0.002
Florida,Washington County,9869,2344,1,0.007
Georgia,Appling County,6526,1779,0,0.000
Georgia,Atkinson County,2300,825,1,0.029
Georgia,Bacon County,4018,625,0,0.000
Georgia,Baker County,897,652,0,0.000
Georgia,Baldwin County,8903,9140,0,0.000
Georgia,Banks County,7795,932,0,0.000
Georgia,Barrow County,26794,10448,0,0.000
Georgia,Bartow County,37623,12053,6,0.011
Georgia,Ben Hill County,4110,2392,0,0.000
Georgia,Berrien County,6409,1268,0,0.000
Georgia,Bibb County,26506,43234,5,0.007
Georgia,Bleckley County,4328,1311,1,0.016
Georgia,Brantley County,6991,699,0,0.000
Georgia,Brooks County,4260,2790,1,0.013
Georgia,Bryan County,14244,6739,0,0.000
Georgia,Bulloch County,18386,11243,2,0.006
Georgia,Burke County,5400,5209,2,0.017
Georgia,Butts County,8403,3271,2,0.016
Georgia,Calhoun County,923,1259,1,0.042
Georgia,Camden County,15251,7967,2,0.008
Georgia,Candler County,3129,1257,0,0.000
Georgia,Carroll County,37476,16238,4,0.007
Georgia,Catoosa County,25142,6927,0,0.000
Georgia,Charlton County,3419,1102,0,0.000
Georgia,Chatham County,53173,78128,10,0.007
Georgia,Chattahoochee County,879,667,0,0.000
Georgia,Chattooga County,8064,1854,1,0.009
Georgia,Cherokee County,99474,42683,3,0.002
Georgia,Clarke County,14385,35882,3,0.005
Georgia,Clay County,637,790,0,0.000
Georgia,Clayton County,15671,94365,8,0.007
Georgia,Clinch County,2105,747,1,0.032
Georgia,Cobb County,164965,221234,20,0.005
Georgia,Coffee County,10532,4463,1,0.006
Georgia,Colquitt County,11776,4185,2,0.011
Georgia,Columbia County,49952,29175,2,0.002
Georgia,Cook County,4900,2059,1,0.013
Georgia,Coweta County,51405,24072,5,0.006
Georgia,Crawford County,4428,1615,1,0.015
Georgia,Crisp County,4982,2980,0,0.000
Georgia,Dade County,6066,1261,0,0.000
Georgia,Dawson County,13393,2486,0,0.000
Georgia,Decatur County,6758,4780,2,0.016
Georgia,DeKalb County,57993,305197,24,0.006
Georgia,Dodge County,5839,2170,0,0.000
Georgia,Dooly County,2159,1911,0,0.000
Georgia,Dougherty County,10419,24407,1,0.003
Georgia,Douglas County,25308,42609,3,0.004
Georgia,Early County,2719,2437,0,0.000
Georgia,Echols County,1256,167,0,0.000
Georgia,Effingham County,23340,7706,3,0.009
Georgia,Elbert County,6226,2879,1,0.010
Georgia,Emanuel County,6551,2884,0,0.000
Georgia,Evans County,2888,1324,1,0.022
Georgia,Fannin County,12144,2571,0,0.000
Georgia,Fayette County,36316,31863,1,0.001
Georgia,Floyd County,27059,10959,3,0.007
Georgia,Forsyth County,85081,42177,6,0.004
Georgia,Franklin County,9066,1593,1,0.009
Georgia,Fulton County,135043,373569,35,0.006
Georgia,Gilmer County,13382,2905,0,0.000
Georgia,Glascock County,1403,155,0,0.000
Georgia,Glynn County,25581,15857,3,0.007
Georgia,Gordon County,19405,4384,2,0.008
Georgia,Grady County,7027,3608,0,0.000
Georgia,Greene County,7068,4088,1,0.008
Georgia,Gwinnett County,166016,241140,17,0.004
Georgia,Habersham County,16616,3559,2,0.009
Georgia,Hall County,64105,25002,7,0.007
Georgia,Hancock County,1159,2985,0,0.000
Georgia,Haralson County,12326,1792,1,0.006
Georgia,Harris County,14319,5457,1,0.005
Georgia,Hart County,9464,3157,0,0.000
Georgia,Heard County,4515,823,0,0.000
Georgia,Henry County,48187,73276,8,0.006
Georgia,Houston County,41468,32149,3,0.004
Georgia,Irwin County,3134,1008,0,0.000
Georgia,Jackson County,29497,7642,1,0.002
Georgia,Jasper County,5822,1761,1,0.012
Georgia,Jeff Davis County,4695,1028,1,0.016
Georgia,Jefferson County,3537,4061,0,0.000
Georgia,Jenkins County,2161,1266,0,0.000
Georgia,Johnson County,2850,1222,0,0.000
Georgia,Jones County,9965,4888,0,0.000
Georgia,Lamar County,6322,2612,1,0.010
Georgia,Lanier County,2509,1019,0,0.000
Georgia,Laurens County,14479,8048,3,0.012
