,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
0,Delaware,Kent County,40976,44518,0,0
1,Delaware,New Castle County,87685,194238,0,0
2,Delaware,Sussex County,71196,56657,0,0
3,District of Columbia,District of Columbia,1149,29509,0,0
4,District of Columbia,Ward 2,2365,24247,0,0
5,District of Columbia,Ward 3,2972,33584,0,0
6,District of Columbia,Ward 4,1467,35117,0,0
7,District of Columbia,Ward 5,1416,36585,0,0
8,District of Columbia,Ward 6,3360,44699,0,0
9,District of Columbia,Ward 7,885,30253,0,0
10,District of Columbia,Ward 8,835,24567,0,0
11,Florida,Alachua County,50891,89527,0,0
12,Florida,Baker County,11911,2037,0,0
13,Florida,Bay County,65993,25538,0,0
14,Florida,Bradford County,10334,3160,0,0
15,Florida,Brevard County,207700,148403,0,0
16,Florida,Broward County,332960,617689,0,0
17,Florida,Calhoun County,5269,1206,0,0
18,Florida,Charlotte County,73202,42240,0,0
19,Florida,Citrus County,65230,27049,0,0
20,Florida,Clay County,84422,38248,0,0
21,Florida,Collier County,128820,77529,0,0
22,Florida,Columbia County,23819,8900,0,0
23,Florida,DeSoto County,8292,4249,0,0
24,Florida,Dixie County,6757,1364,0,0
25,Florida,Duval County,233316,251952,0,0
26,Florida,Escambia County,96573,70824,0,0
27,Florida,Flagler County,42991,28124,0,0
28,Florida,Franklin County,4675,2118,0,0
29,Florida,Gadsden County,7461,16139,0,0
30,Florida,Gilchrist County,7893,1700,0,0
31,Florida,Glades County,3781,1384,0,0
32,Florida,Gulf County,6111,1985,0,0
33,Florida,Hamilton County,3811,1959,0,0
34,Florida,Hardee County,6120,2291,0,0
35,Florida,Hendry County,7898,4925,0,0
36,Florida,Hernando County,70321,37446,0,0
37,Florida,Highlands County,34787,16861,0,0
38,Florida,Hillsborough County,326158,374714,0,0
39,Florida,Holmes County,8074,924,0,0
40,Florida,Indian River County,58797,37801,0,0
41,Florida,Jackson County,15466,6749,0,0
42,Florida,Jefferson County,4474,3893,0,0
43,Florida,Lafayette County,3126,507,0,0
44,Florida,Lake County,125687,83273,0,0
45,Florida,Lee County,232075,156957,0,0
46,Florida,Leon County,57384,103364,0,0
47,Florida,Levy County,16721,6189,0,0
48,Florida,Liberty County,2846,693,0,0
49,Florida,Madison County,5576,3747,0,0
50,Florida,Manatee County,124827,90007,0,0
51,Florida,Marion County,127744,74802,0,0
52,Florida,Martin County,61133,36873,0,0
53,Florida,Miami-Dade County,532460,617289,0,0
54,Florida,Monroe County,25668,21848,0,0
55,Florida,Nassau County,42502,15542,0,0
56,Florida,Okaloosa County,79633,34165,0,0
57,Florida,Okeechobee County,11460,4380,0,0
58,Florida,Orange County,245162,394602,0,0
59,Florida,Osceola County,73373,97157,0,0
60,Florida,Palm Beach County,333927,432117,0,0
61,Florida,Pasco County,179343,118767,0,0
62,Florida,Pinellas County,275949,277191,0,0
63,Florida,Polk County,194271,144775,0,0
64,Florida,Putnam County,25496,10512,0,0
65,Florida,St. Johns County,110886,63808,0,0
66,Florida,St. Lucie County,86748,84005,0,0
67,Florida,Santa Rosa County,77306,27560,0,0
68,Florida,Sarasota County,148065,119892,0,0
69,Florida,Seminole County,125035,132213,0,0
70,Florida,Sumter County,62753,29326,0,0
71,Florida,Suwannee County,16387,4480,0,0
72,Florida,Taylor County,7725,2288,0,0
73,Florida,Union County,5130,1052,0,0
74,Florida,Volusia County,173544,130395,0,0
75,Florida,Wakulla County,12868,5346,0,0
76,Florida,Walton County,32924,10333,0,0
77,Florida,Washington County,9869,2344,0,0
78,Georgia,Appling County,6526,1779,0,0
79,Georgia,Atkinson County,2300,825,0,0
80,Georgia,Bacon County,4018,625,0,0
81,Georgia,Baker County,897,652,0,0
82,Georgia,Baldwin County,8903,9140,0,0
83,Georgia,Banks County,7795,932,0,0
84,Georgia,Barrow County,26794,10448,0,0
85,Georgia,Bartow County,37623,12053,0,0
86,Georgia,Ben Hill County,4110,2392,0,0
87,Georgia,Berrien County,6409,1268,0,0
88,Georgia,Bibb County,26506,43234,0,0
89,Georgia,Bleckley County,4328,1311,0,0
90,Georgia,Brantley County,6991,699,0,0
91,Georgia,Brooks County,4260,2790,0,0
92,Georgia,Bryan County,14244,6739,0,0
93,Georgia,Bulloch County,18386,11243,0,0
94,Georgia,Burke County,5400,5209,0,0
95,Georgia,Butts County,8403,3271,0,0
96,Georgia,Calhoun County,923,1259,0,0
97,Georgia,Camden County,15251,7967,0,0
98,Georgia,Candler County,3129,1257,0,0
99,Georgia,Carroll County,37476,16238,0,0
100,Georgia,Catoosa County,25142,6927,0,0
101,Georgia,Charlton County,3419,1102,0,0
102,Georgia,Chatham County,53173,78128,0,0
103,Georgia,Chattahoochee County,879,667,0,0
104,Georgia,Chattooga County,8064,1854,0,0
105,Georgia,Cherokee County,99474,42683,0,0
106,Georgia,Clarke County,14385,35882,0,0
107,Georgia,Clay County,637,790,0,0
108,Georgia,Clayton County,15671,94365,0,0
109,Georgia,Clinch County,2105,747,0,0
110,Georgia,Cobb County,164965,221234,0,0
111,Georgia,Coffee County,10532,4463,0,0
112,Georgia,Colquitt County,11776,4185,0,0
113,Georgia,Columbia County,49952,29175,0,0
114,Georgia,Cook County,4900,2059,0,0
115,Georgia,Coweta County,51405,24072,0,0
116,Georgia,Crawford County,4428,1615,0,0
117,Georgia,Crisp County,4982,2980,0,0
118,Georgia,Dade County,6066,1261,0,0
119,Georgia,Dawson County,13393,2486,0,0
120,Georgia,Decatur County,6758,4780,0,0
121,Georgia,DeKalb County,57993,305197,0,0
122,Georgia,Dodge County,5839,2170,0,0
123,Georgia,Dooly County,2159,1911,0,0
124,Georgia,Dougherty County,10419,24407,0,0
125,Georgia,Douglas County,25308,42609,0,0
126,Georgia,Early County,2719,2437,0,0
127,Georgia,Echols County,1256,167,0,0
128,Georgia,Effingham County,23340,7706,0,0
129,Georgia,Elbert County,6226,2879,0,0
130,Georgia,Emanuel County,6551,2884,0,0
131,Georgia,Evans County,2888,1324,0,0
132,Georgia,Fannin County,12144,2571,0,0
133,Georgia,Fayette County,36316,31863,0,0
134,Georgia,Floyd County,27059,10959,0,0
135,Georgia,Forsyth County,85081,42177,0,0
136,Georgia,Franklin County,9066,1593,0,0
137,Georgia,Fulton County,135043,373569,0,0
138,Georgia,Gilmer County,13382,2905,0,0
139,Georgia,Glascock County,1403,155,0,0
140,Georgia,Glynn County,25581,15857,0,0
141,Georgia,Gordon County,19405,4384,0,0
142,Georgia,Grady County,7027,3608,0,0
143,Georgia,Greene County,7068,4088,0,0
144,Georgia,Gwinnett County,166016,241140,0,0
145,Georgia,Habersham County,16616,3559,0,0
146,Georgia,Hall County,64105,25002,0,0
147,Georgia,Hancock County,1159,2985,0,0
148,Georgia,Haralson County,12326,1792,0,0
149,Georgia,Harris County,14319,5457,0,0
150,Georgia,Hart County,9464,3157,0,0
151,Georgia,Heard County,4515,823,0,0
152,Georgia,Henry County,48187,73276,0,0
153,Georgia,Houston County,41468,32149,0,0
154,Georgia,Irwin County,3134,1008,0,0
155,Georgia,Jackson County,29497,7642,0,0
156,Georgia,Jasper County,5822,1761,0,0
157,Georgia,Jeff Davis County,4695,1028,0,0
158,Georgia,Jefferson County,3537,4061,0,0
159,Georgia,Jenkins County,2161,1266,0,0
160,Georgia,Johnson County,2850,1222,0,0
161,Georgia,Jones County,9965,4888,0,0
162,Georgia,Lamar County,6322,2612,0,0
163,Georgia,Lanier County,2509,1019,0,0
164,Georgia,Laurens County,14479,8048,0,0
165,Georgia,Lee County,11998,4556,0,0
166,Georgia,Liberty County,7944,13051,0,0
167,Georgia,Lincoln County,3175,1432,0,0
168,Georgia,Long County,3528,2033,0,0
169,Georgia,Lowndes County,25520,19832,0,0
170,Georgia,Lumpkin County,12160,3122,0,0
171,Georgia,McDuffie County,6169,4168,0,0
172,Georgia,McIntosh County,4016,2612,0,0
173,Georgia,Macon County,1783,2857,0,0
174,Georgia,Madison County,11146,3365,0,0
175,Georgia,Marion County,2275,1311,0,0
176,Georgia,Meriwether County,6524,4287,0,0
177,Georgia,Miller County,2066,749,0,0
178,Georgia,Mitchell County,4933,3990,0,0
179,Georgia,Monroe County,11060,4384,0,0
180,Georgia,Montgomery County,2959,976,0,0
181,Georgia,Morgan County,8228,3355,0,0
182,Georgia,Murray County,12943,2302,0,0
183,Georgia,Muscogee County,29949,49201,0,0
184,Georgia,Newton County,23867,29781,0,0
185,Georgia,Oconee County,16594,8160,0,0
186,Georgia,Oglethorpe County,5591,2435,0,0
187,Georgia,Paulding County,54460,29658,0,0
188,Georgia,Peach County,6502,5920,0,0
189,Georgia,Pickens County,14075,2808,0,0
190,Georgia,Pierce County,7899,1099,0,0
191,Georgia,Pike County,9124,1503,0,0
192,Georgia,Polk County,13589,3658,0,0
193,Georgia,Pulaski County,2805,1217,0,0
