victim,gender,race,date,city,state,county,death,charges,mental_illness,weapon,weapon_type,threat,fleeing
44,Male,Unknown race,10/28/2020,Trigg County,KY,Trigg,Gunshot,No known charges,No,Allegedly Armed,undetermined,undetermined,
35,Male,Unknown race,10/27/2020,Chattanooga,TN,,Gunshot,No known charges,No,Allegedly Armed,gun,other,
0,Male,Unknown race,10/27/2020,Herriman,UT,,Gunshot,No known charges,No,Allegedly Armed,undetermined,undetermined,
27,Male,Unknown race,10/26/2020,Alexandria,VA,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,foot
27,Male,Black,10/26/2020,Philadelphia,PA,,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,not fleeing
53,Male,Unknown race,10/25/2020,Phoenix,AZ,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,not fleeing
19,Male,Black,10/24/2020,Sylvester,GA,,Gunshot,No known charges,No,Unclear,undetermined,undetermined,other
33,Male,Unknown race,10/24/2020,Lawrenceburg,IN,Dearborn,Gunshot,No known charges,No,Allegedly Armed,knife,attack,not fleeing
,Male,unknown race,10/23/2020,Huntsville,UT,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,not fleeing
25,Male,Unknown race,10/23/2020,Chicago,IL,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,foot
62,Male,Unknown race,10/23/2020,Goodman,WI,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,car
32,Male,Unknown race,10/23/2020,Coffeyville,KS,Montgomery,Gunshot,No known charges,No,Allegedly Armed,gun,other,car
63,Male,Unknown race,10/22/2020,Roane County,WV,Roane,Gunshot,No known charges,No,Allegedly Armed,undetermined,other,
43,Male,Unknown race,10/22/2020,Eagle River,AK,,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
35,Male,Black,10/22/2020,San Bernardino,CA,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
30,Male,Hispanic,10/22/2020,Casa Grande,AZ,Pinal,Gunshot,No known charges,No,Allegedly Armed,gun,attack,car
35,Male,Unknown race,10/21/2020,Bradenton,FL,Manatee,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
45,Male,Black,10/21/2020,Moss Point,MS,Jackson,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
,Male,Unknown race,10/20/2020,Perdido Key,FL,Escambia,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
61,Male,Unknown race,10/20/2020,Spring Hill,FL,Hernando,Gunshot,No known charges,No,Allegedly Armed,gun,attack,not fleeing
48,Male,Black,10/20/2020,Elmwood Place,OH,Hamilton,Gunshot,No known charges,No,Allegedly Armed,gun,attack,not fleeing
,Male,Unknown race,10/20/2020,Phoenix,AZ,,Gunshot,No known charges,No,Unclear,undetermined,attack,not fleeing
19,Male,Black,10/20/2020,Waukegan,IL,,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,other,car
,Male,Unknown race,10/19/2020,Emmitsburg,MD,Frederick,Gunshot,No known charges,No,Allegedly Armed,gun,attack,other
46,Male,Unknown race,10/19/2020,Coram,NY,Suffolk,Gunshot,No known charges,No,Allegedly Armed,knife,other,
43,Male,Unknown race,10/19/2020,South Milwaukee,WI,,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
37,Male,Unknown race,10/18/2020,Tooele,UT,,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
32,Male,White,10/18/2020,Fresno,CA,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
56,Male,Unknown race,10/18/2020,Sunrise,FL,,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
21,Male,Unknown race,10/17/2020,Wood County,WV,Wood,Gunshot,No known charges,No,Allegedly Armed,undetermined,undetermined,
53,Male,Unknown race,10/17/2020,Muhlenberg County,KY,,Gunshot,No known charges,Yes,Unclear,undetermined,other,Not fleeing
,Male,Unknown race,10/17/2020,Laguna,NM,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,car
27,Male,Black,10/16/2020,Rock Island,IL,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,other
25,Male,Black,10/16/2020,Los Angeles ,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
57,Male,Unknown race,10/16/2020,Huntsville,AL,,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
,Male,Unknown race,10/16/2020,Sioux Falls,SD,,Gunshot,No known charges,No,Allegedly Armed,gun,undetermined,
,Male,Unknown race,10/14/2020,Cookson,OK,Cherokee,"Gunshot, Taser",No known charges,No,Allegedly Armed,sharp object,attack,Not fleeing
,Male,Unknown race,10/14/2020,South Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
30,Male,White,10/14/2020,Chico,CA,Butte,"Gunshot, Taser",No known charges,No,Allegedly Armed,knife,attack,foot
27,Male,Hispanic,10/13/2020,Bakersfield,CA,Kern,Gunshot,No known charges,No,Allegedly Armed,knife,attack,foot
24,Male,,10/12/2020,Bethel Springs,TN,McNairy,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,other,car
,Male,,10/12/2020,Billings,MT,Yellowstone,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
29,Male,Unknown race,10/10/2020,Kingman,AZ,Mojave,Gunshot,No known charges,,Allegedly Armed,gun,,
21,Male,Hispanic,10/10/2020,San Francisco,CA,San Francisco,Gunshot,No known charges,No,Allegedly Armed,knife,other,car
41,Female,White,10/9/2020,Myrtle Beach,SC,Horry,Gunshot,No known charges,Yes,Allegedly Armed,gun,undetermined,
29,Male,White,10/9/2020,Salina,KS,Saline,Gunshot,No known charges,No,Allegedly Armed,undetermined,undetermined,Car
29,Male,Unknown race,10/9/2020,Houston,TX,Harris,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
25,Male,White,10/9/2020,Hinkley,MN,Pine ,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
24,Male,Black,10/8/2020,Queens,NY,Queens,Gunshot,No known charges,No,Allegedly Armed,gun,attack,other
29,Male,White,10/8/2020,Stockton,CA,San Joaquin,Physical Restraint,No known charges,,Unarmed/Did Not Have an Actual Weapon,,,
47,Male,Unknown race,10/8/2020,Palm City,FL,Martin,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
62,Male,White,10/6/2020,Fayetteville,NC,Cumberland,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,
48,Female,White,10/6/2020,Hillard,FL,Nassau,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
44,Male,Unknown race,10/6/2020,Georgetown,KY,Scott,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not Fleeing
47,Male,Unknown race,10/5/2020,Napa,CA,Napa,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,attack,Not Fleeing
27,Male,Hispanic,10/4/2020,Las Cruces,NM,Dona Ana,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not Fleeing
29,Male,Black,10/8/2020,Philadelphia,PA,Philadelphia,Gunshot,No known charges,No,Allegedly Armed,gun,attack,other
41,Male,Unknown race,10/4/2020,Vancouver,WA,Clark,Gunshot,No known charges,No,Allegedly Armed,undetermined,Other,Not Fleeing
30,Male,Unknown race,10/4/2020,Chula Vista,CA,San Diego,Gunshot,No known charges,No,Unclear,undetermined,other,Car
31,Male,Black,10/3/2020,Wolfe City,TX,Hunt,"Gunshot, Taser",Charged with a crime,No,Unarmed/Did Not Have an Actual Weapon,no object,undetermined,Not Fleeing
20,Male,Unknown race,10/3/2020,Myrtle Beach,SC,Horry,Gunshot,No known charges,No,Unclear,undetermined,attack,
38,Male,White,10/2/2020,Tallahassee,FL,Leon,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
39,Male ,Unknown race,10/2/2020,Mojave,CA,Kern,Gunshot,No known charges,No,Unclear,undetermined,other,Foot
33,Male,White,10/2/2020,Longview,WA,Cowlitz,Gunshot,No known charges,No,Allegedly Armed,gun,other,Foot
46,Male,Hispanic,10/2/2020,Fresno,CA,Fresno,"Gunshot, Taser",No known charges,No,Allegedly Armed,knife,other,Foot
,Unknown,Unknown race,10/1/2020,Coal City,WV,Raleigh,Gunshot,No known charges,No,Unclear,,attack,Car
41,Male,White,9/30/2020,Manhattan,KS,Riley,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
27,Male,Black,9/30/2020,Decatur,GA,DeKalb,Gunshot,No known charges,No,Unclear,undetermined,,Not fleeing
27,Male,Unknown race,9/29/2020,St. Cloud,MN,Stearns,Gunshot,No known charges,No,Allegedly Armed,gun,other,Car
57,Male,Black,9/28/2020,Waggaman,LA,Jefferson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
18,Male,Hispanic,9/28/2020,Victorville,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,gun,,Not fleeing
,Male,Unknown race,9/27/2020,Modesto,CA,Stanislaus,Gunshot,No known charges,No,Allegedly Armed,hatchet,attack,Not fleeing
43,Male,Unknown race,9/27/2020,Dearborn,MI,Wayne,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
21,Male,Hispanic,9/25/2020,Tempe,AZ,Maricopa,Gunshot,No known charges,Unknown,Unclear,undetermined,other,Car
43,Male,White,9/24/2020,Spokane,WA,Spokane,Gunshot,No known charges,No,Allegedly Armed,gun,,Not fleeing
,Male,Unknown race,9/24/2020,La Quinta,CA,Riverside,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
38,Male,White,9/24/2020,Paso Robles,CA,San Luis,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
30,Male,White,9/24/2020,Sebring,FL,Highlands,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
