"county","fips","candidate","state","pct_report","votes","total_votes","pct","lead"
"Los Angeles County","6037","Hillary Clinton","CA",1,1654626,2314275,0.714965161875749,"Hillary Clinton"
"Los Angeles County","6037","Donald Trump","CA",1,542591,2314275,0.234453986669691,"Hillary Clinton"
"Cook County","17031","Hillary Clinton","IL",0.9746,1528582,2055215,0.743757709047472,"Hillary Clinton"
"Cook County","17031","Donald Trump","IL",0.9746,440213,2055215,0.21419316227256,"Hillary Clinton"
"Harris County","48201","Hillary Clinton","TX",1,706471,1302887,0.542235051850237,"Hillary Clinton"
"Harris County","48201","Donald Trump","TX",1,544960,1302887,0.418271116374636,"Hillary Clinton"
"Maricopa County","4013","Donald Trump","AZ",1,590465,1201934,0.491262415407169,"Donald Trump"
"Maricopa County","4013","Hillary Clinton","AZ",1,549040,1201934,0.456797128627695,"Donald Trump"
"Miami-Dade County","12086","Hillary Clinton","FL",1,623006,978670,0.636584344058774,"Hillary Clinton"
"Miami-Dade County","12086","Donald Trump","FL",1,333666,978670,0.34093821206331,"Hillary Clinton"
"King County","53033","Hillary Clinton","WA",0.8723,638033,883231,0.722385197077548,"Hillary Clinton"
"King County","53033","Donald Trump","WA",0.8723,191806,883231,0.217164026172089,"Hillary Clinton"
"Orange County","6059","Hillary Clinton","CA",1,413982,830206,0.49864973271694,"Hillary Clinton"
"Orange County","6059","Donald Trump","CA",1,371268,830206,0.447199851603096,"Hillary Clinton"
"Broward County","12011","Hillary Clinton","FL",1,546956,822837,0.664719744007622,"Hillary Clinton"
"Broward County","12011","Donald Trump","FL",1,258521,822837,0.314182517315094,"Hillary Clinton"
"Wayne County","26163","Hillary Clinton","MI",1,517022,773983,0.668001751976465,"Hillary Clinton"
"Wayne County","26163","Donald Trump","MI",1,228313,773983,0.29498451516377,"Hillary Clinton"
"San Diego County","6073","Hillary Clinton","CA",1,429338,768383,0.55875520411045,"Hillary Clinton"
"San Diego County","6073","Donald Trump","CA",1,298521,768383,0.38850547188056,"Hillary Clinton"
"Middlesex County","25017","Hillary Clinton","MA",1,508919,767337,0.663227499781713,"Hillary Clinton"
"Middlesex County","25017","Donald Trump","MA",1,216163,767337,0.281705430599593,"Hillary Clinton"
"Clark County","32003","Hillary Clinton","NV",1,401068,765421,0.523983533245103,"Hillary Clinton"
"Clark County","32003","Donald Trump","NV",1,319571,765421,0.41751010228358,"Hillary Clinton"
"Dallas County","48113","Hillary Clinton","TX",1,458845,750649,0.611264385884748,"Hillary Clinton"
"Dallas County","48113","Donald Trump","TX",1,261865,750649,0.348851460536149,"Hillary Clinton"
"Kings County","36047","Hillary Clinton","NY",1,595086,746295,0.797387092235644,"Hillary Clinton"
"Kings County","36047","Donald Trump","NY",1,133653,746295,0.179088698168955,"Hillary Clinton"
"Philadelphia County","42101","Hillary Clinton","PA",0.9875,560542,680227,0.824051382847197,"Hillary Clinton"
"Philadelphia County","42101","Donald Trump","PA",0.9875,105418,680227,0.154974736374769,"Hillary Clinton"
"Hennepin County","27053","Hillary Clinton","MN",1,429283,672644,0.638202377483483,"Hillary Clinton"
"Hennepin County","27053","Donald Trump","MN",1,191768,672644,0.285095830781216,"Hillary Clinton"
"Oakland County","26125","Hillary Clinton","MI",1,342976,663255,0.517110312021771,"Hillary Clinton"
"Oakland County","26125","Donald Trump","MI",1,289127,663255,0.435921327392933,"Hillary Clinton"
"Tarrant County","48439","Donald Trump","TX",1,345683,662832,0.521524307818572,"Donald Trump"
"Tarrant County","48439","Hillary Clinton","TX",1,288001,662832,0.434500748304246,"Donald Trump"
"Palm Beach County","12099","Hillary Clinton","FL",1,371411,657235,0.565111413725684,"Hillary Clinton"
"Palm Beach County","12099","Donald Trump","FL",1,270762,657235,0.411971364884706,"Hillary Clinton"
"Allegheny County","42003","Hillary Clinton","PA",1,363017,643173,0.564415794817258,"Hillary Clinton"
"Allegheny County","42003","Donald Trump","PA",1,257488,643173,0.40034018840965,"Hillary Clinton"
"Queens County","36081","Hillary Clinton","NY",0.9969,473389,627021,0.754981093137231,"Hillary Clinton"
"Queens County","36081","Donald Trump","NY",0.9969,138550,627021,0.220965486004456,"Hillary Clinton"
"Suffolk County","36103","Donald Trump","NY",1,328403,625720,0.524840184107908,"Donald Trump"
"Suffolk County","36103","Hillary Clinton","NY",1,276953,625720,0.442614907626414,"Donald Trump"
"Nassau County","36059","Hillary Clinton","NY",1,307326,599649,0.512509818243673,"Hillary Clinton"
"Nassau County","36059","Donald Trump","NY",1,275479,599649,0.459400415909974,"Hillary Clinton"
"Hillsborough County","12057","Hillary Clinton","FL",1,306422,595072,0.514932646805765,"Hillary Clinton"
"Hillsborough County","12057","Donald Trump","FL",1,265928,595072,0.446883738438374,"Hillary Clinton"
"New York County","36061","Hillary Clinton","NY",0.9839,515481,591368,0.87167550493094,"Hillary Clinton"
"New York County","36061","Donald Trump","NY",0.9839,58935,591368,0.0996587573220059,"Hillary Clinton"
"Bexar County","48029","Hillary Clinton","TX",1,319191,586038,0.544659220050577,"Hillary Clinton"
"Bexar County","48029","Donald Trump","TX",1,240161,586038,0.409804483668295,"Hillary Clinton"
"Cuyahoga County","39035","Hillary Clinton","OH",1,383974,583230,0.658357766232876,"Hillary Clinton"
"Cuyahoga County","39035","Donald Trump","OH",1,179894,583230,0.308444352999674,"Hillary Clinton"
"Franklin County","39049","Hillary Clinton","OH",1,335961,554711,0.605650509905158,"Hillary Clinton"
"Franklin County","39049","Donald Trump","OH",1,192328,554711,0.346717479912964,"Hillary Clinton"
"Santa Clara County","6085","Hillary Clinton","CA",1,406049,553336,0.733819957494181,"Hillary Clinton"
"Santa Clara County","6085","Donald Trump","CA",1,116196,553336,0.20999175907586,"Hillary Clinton"
"Orange County","12095","Hillary Clinton","FL",1,329579,545800,0.60384573103701,"Hillary Clinton"
"Orange County","12095","Donald Trump","FL",1,195091,545800,0.357440454378893,"Hillary Clinton"
"Fairfax County","51059","Hillary Clinton","VA",1,354485,542858,0.6529976531616,"Hillary Clinton"
"Fairfax County","51059","Donald Trump","VA",1,157837,542858,0.290751909339091,"Hillary Clinton"
"Riverside County","6065","Hillary Clinton","CA",1,253215,517200,0.489588167053364,"Hillary Clinton"
"Riverside County","6065","Donald Trump","CA",1,240013,517200,0.464062258313998,"Hillary Clinton"
"Wake County","37183","Hillary Clinton","NC",1,298353,510940,0.583929619916233,"Hillary Clinton"
"Wake County","37183","Donald Trump","NC",1,193607,510940,0.378923161232239,"Hillary Clinton"
"St. Louis County","29189","Hillary Clinton","MO",1,280866,503493,0.557834964934964,"Hillary Clinton"
"St. Louis County","29189","Donald Trump","MO",1,199081,503493,0.395399737434284,"Hillary Clinton"
"San Bernardino County","6071","Hillary Clinton","CA",1,258409,498697,0.51816834671153,"Hillary Clinton"
"San Bernardino County","6071","Donald Trump","CA",1,214698,498697,0.430517929724863,"Hillary Clinton"
"Pinellas County","12103","Donald Trump","FL",1,238746,491520,0.48572998046875,"Donald Trump"
"Pinellas County","12103","Hillary Clinton","FL",1,233327,491520,0.474704996744792,"Donald Trump"
"Travis County","48453","Hillary Clinton","TX",1,306475,462511,0.662632888731295,"Hillary Clinton"
"Travis County","48453","Donald Trump","TX",1,126750,462511,0.274047536166707,"Hillary Clinton"
"Mecklenburg County","37119","Hillary Clinton","NC",1,292258,461834,0.632820450638108,"Hillary Clinton"
"Mecklenburg County","37119","Donald Trump","NC",1,154303,461834,0.334109225392674,"Hillary Clinton"
"Milwaukee County","55079","Hillary Clinton","WI",1,288986,434970,0.664381451594363,"Hillary Clinton"
"Milwaukee County","55079","Donald Trump","WI",1,126091,434970,0.289884359840909,"Hillary Clinton"
"Duval County","12031","Donald Trump","FL",1,210061,428734,0.489956476509911,"Donald Trump"
"Duval County","12031","Hillary Clinton","FL",1,203627,428734,0.474949502488723,"Donald Trump"
"Montgomery County","42091","Hillary Clinton","PA",1,251063,427489,0.587296983080266,"Hillary Clinton"
"Montgomery County","42091","Donald Trump","PA",1,160803,427489,0.376157047315837,"Hillary Clinton"
"Alameda County","6001","Hillary Clinton","CA",1,337524,424517,0.795077700068548,"Hillary Clinton"
"Alameda County","6001","Donald Trump","CA",1,64010,424517,0.15078312529298,"Hillary Clinton"
"Macomb County","26099","Donald Trump","MI",1,224589,418773,0.536302483684478,"Donald Trump"
"Macomb County","26099","Hillary Clinton","MI",1,176238,418773,0.420843750671605,"Donald Trump"
"DuPage County","17043","Hillary Clinton","IL",1,222499,412929,0.538831130775509,"Hillary Clinton"
"DuPage County","17043","Donald Trump","IL",1,164355,412929,0.398022420319232,"Hillary Clinton"
"Fairfield County","9001","Hillary Clinton","CT",0.9933,238723,410279,0.58185527409397,"Hillary Clinton"
"Fairfield County","9001","Donald Trump","CT",0.9933,155457,410279,0.378905574011831,"Hillary Clinton"
"Montgomery County","24031","Hillary Clinton","MD",1,309761,408300,0.758660298799902,"Hillary Clinton"
"Montgomery County","24031","Donald Trump","MD",1,82985,408300,0.203245162870438,"Hillary Clinton"
"Fulton County","13121","Hillary Clinton","GA",1,281875,407173,0.692273308888359,"Hillary Clinton"
"Fulton County","13121","Donald Trump","GA",1,110372,407173,0.271069054185813,"Hillary Clinton"
"Hartford County","9003","Hillary Clinton","CT",1,233789,399219,0.585615915074182,"Hillary Clinton"
"Hartford County","9003","Donald Trump","CT",1,147912,399219,0.370503407903932,"Hillary Clinton"
"Hamilton County","39061","Hillary Clinton","OH",1,207587,395000,0.52553670886076,"Hillary Clinton"
"Hamilton County","39061","Donald Trump","OH",1,169972,395000,0.430308860759494,"Hillary Clinton"
"Bergen County","34003","Hillary Clinton","NJ",1,209251,383965,0.544974151289831,"Hillary Clinton"
"Bergen County","34003","Donald Trump","NJ",1,163220,383965,0.425090828591148,"Hillary Clinton"
"Erie County","36029","Hillary Clinton","NY",0.9773,192065,383248,0.501150690936417,"Hillary Clinton"
"Erie County","36029","Donald Trump","NY",0.9773,173817,383248,0.453536613367845,"Hillary Clinton"
"Worcester County","25027","Hillary Clinton","MA",1,197126,380972,0.517429102401226,"Hillary Clinton"
"Worcester County","25027","Donald Trump","MA",1,157138,380972,0.412466008000588,"Hillary Clinton"
"Westchester County","36119","Hillary Clinton","NY",0.9905,245670,378506,0.649051798386287,"Hillary Clinton"
"Westchester County","36119","Donald Trump","NY",0.9905,121643,378506,0.321376675666964,"Hillary Clinton"
"Essex County","25009","Hillary Clinton","MA",1,220027,376140,0.584960387089913,"Hillary Clinton"
"Essex County","25009","Donald Trump","MA",1,135405,376140,0.359985643643324,"Hillary Clinton"
"New Haven County","9009","Hillary Clinton","CT",1,203601,375909,0.541623105592045,"Hillary Clinton"
"New Haven County","9009","Donald Trump","CT",1,158373,375909,0.421306752432105,"Hillary Clinton"
"Sacramento County","6067","Hillary Clinton","CA",1,217211,373433,0.581659896152724,"Hillary Clinton"
"Sacramento County","6067","Donald Trump","CA",1,133829,373433,0.35837486242512,"Hillary Clinton"
"Marion County","18097","Hillary Clinton","IN",1,212676,361070,0.589015980280832,"Hillary Clinton"
"Marion County","18097","Donald Trump","IN",1,130228,361070,0.360672445786136,"Hillary Clinton"
"Pima County","4019","Hillary Clinton","AZ",1,195649,360762,0.542321530538139,"Hillary Clinton"
"Pima County","4019","Donald Trump","AZ",1,147019,360762,0.407523519661162,"Hillary Clinton"
"Bronx County","36005","Hillary Clinton","NY",1,318403,358857,0.88726985958195,"Hillary Clinton"
"Bronx County","36005","Donald Trump","NY",1,34424,358857,0.095926789779773,"Hillary Clinton"
"Norfolk County","25021","Hillary Clinton","MA",1,219129,357781,0.612466844242707,"Hillary Clinton"
"Norfolk County","25021","Donald Trump","MA",1,119171,357781,0.333083646141075,"Hillary Clinton"
"Multnomah County","41051","Hillary Clinton","OR",0.8938,271754,357762,0.759594367205013,"Hillary Clinton"
"Multnomah County","41051","Donald Trump","OR",0.8938,63055,357762,0.176248455677238,"Hillary Clinton"
"Collin County","48085","Donald Trump","TX",1,200395,356545,0.562046866454445,"Donald Trump"
"Collin County","48085","Hillary Clinton","TX",1,139837,356545,0.392200143039448,"Donald Trump"
"Jefferson County","21111","Hillary Clinton","KY",1,190824,352934,0.540678993806207,"Hillary Clinton"
"Jefferson County","21111","Donald Trump","KY",1,143758,352934,0.40732261555985,"Hillary Clinton"
"Prince George's County","24033","Hillary Clinton","MD",1,313627,351091,0.893292622140699,"Hillary Clinton"
"Prince George's County","24033","Donald Trump","MD",1,29290,351091,0.0834256645712935,"Hillary Clinton"
"Bucks County","42017","Hillary Clinton","PA",1,165861,342572,0.484163912987635,"Hillary Clinton"
"Bucks County","42017","Donald Trump","PA",1,163873,342572,0.478360753359878,"Hillary Clinton"
"Contra Costa County","6013","Hillary Clinton","CA",1,231968,337297,0.687726247194609,"Hillary Clinton"
"Contra Costa County","6013","Donald Trump","CA",1,87211,337297,0.258558481101225,"Hillary Clinton"
"Baltimore County","24005","Hillary Clinton","MD",1,189437,335017,0.565454887363925,"Hillary Clinton"
"Baltimore County","24005","Donald Trump","MD",1,131009,335017,0.391051797371477,"Hillary Clinton"
"Shelby County","47157","Hillary Clinton","TN",1,206640,331861,0.622670334869117,"Hillary Clinton"
"Shelby County","47157","Donald Trump","TN",1,114948,331861,0.346373933664998,"Hillary Clinton"
"Cobb County","13067","Hillary Clinton","GA",1,159416,326424,0.488370953116192,"Hillary Clinton"
"Cobb County","13067","Donald Trump","GA",1,152602,326424,0.467496262529716,"Hillary Clinton"
"Lee County","12071","Donald Trump","FL",1,191141,325797,0.586687415783448,"Donald Trump"
"Lee County","12071","Hillary Clinton","FL",1,124725,325797,0.382830412803065,"Donald Trump"
"Gwinnett County","13135","Hillary Clinton","GA",1,165063,323931,0.509562221584226,"Hillary Clinton"
"Gwinnett County","13135","Donald Trump","GA",1,146463,323931,0.452142585921076,"Hillary Clinton"
"Monroe County","36055","Hillary Clinton","NY",1,174063,320164,0.543668245024425,"Hillary Clinton"
"Monroe County","36055","Donald Trump","NY",1,128871,320164,0.402515585762297,"Hillary Clinton"
"Brevard County","12009","Donald Trump","FL",1,181620,314337,0.577787533761536,"Donald Trump"
"Brevard County","12009","Hillary Clinton","FL",1,119525,314337,0.380244769149034,"Donald Trump"
"El Paso County","8041","Donald Trump","CO",1,176506,313273,0.563425510656839,"Donald Trump"
"El Paso County","8041","Hillary Clinton","CO",1,105807,313273,0.337746949146591,"Donald Trump"
"Monmouth County","34025","Donald Trump","NJ",1,165305,311474,0.530718454830901,"Donald Trump"
"Monmouth County","34025","Hillary Clinton","NJ",1,135825,311474,0.436071710640374,"Donald Trump"
"Jefferson County","8059","Hillary Clinton","CO",1,151885,309529,0.490697156001538,"Hillary Clinton"
"Jefferson County","8059","Donald Trump","CO",1,130233,309529,0.420745713648802,"Hillary Clinton"
"Kent County","26081","Donald Trump","MI",1,147959,306270,0.483099879191563,"Donald Trump"
"Kent County","26081","Hillary Clinton","MI",1,138567,306270,0.452434126750906,"Donald Trump"
"Snohomish County","53061","Hillary Clinton","WA",0.8732,165740,305281,0.542909647177518,"Hillary Clinton"
"Snohomish County","53061","Donald Trump","WA",0.8732,114775,305281,0.375965094453962,"Hillary Clinton"
"Dane County","55025","Hillary Clinton","WI",1,217506,304729,0.713768627206469,"Hillary Clinton"
"Dane County","55025","Donald Trump","WI",1,71270,304729,0.233879939224688,"Hillary Clinton"
"Suffolk County","25025","Hillary Clinton","MA",1,241212,303517,0.794723195076388,"Hillary Clinton"
"Suffolk County","25025","Donald Trump","MA",1,50042,303517,0.16487379619593,"Hillary Clinton"
"Essex County","34013","Hillary Clinton","NJ",0.9764,231031,299808,0.770596515102999,"Hillary Clinton"
"Essex County","34013","Donald Trump","NJ",0.9764,62059,299808,0.206995810652151,"Hillary Clinton"
"Pierce County","53053","Hillary Clinton","WA",0.8458,148918,298470,0.498937916708547,"Hillary Clinton"
"Pierce County","53053","Donald Trump","WA",0.8458,125964,298470,0.422032365061815,"Hillary Clinton"
"DeKalb County","13089","Hillary Clinton","GA",1,239131,295871,0.808227234166241,"Hillary Clinton"
