,state,county,candidate,party,voteStates,lead
0,Delaware,Kent County,Joe Biden,DEM,44518,Joe Biden
1,Delaware,Kent County,Donald Trump,REP,40976,Joe Biden
2,Delaware,Kent County,Jo Jorgensen,LIB,1044,Joe Biden
3,Delaware,Kent County,Howie Hawkins,GRN,420,Joe Biden
4,Delaware,Kent County, Write-ins,WRI,0,Joe Biden
5,Delaware,New Castle County,Joe Biden,DEM,194238,Joe Biden
6,Delaware,New Castle County,Donald Trump,REP,87685,Joe Biden
7,Delaware,New Castle County,Jo Jorgensen,LIB,2932,Joe Biden
8,Delaware,New Castle County,Howie Hawkins,GRN,1278,Joe Biden
9,Delaware,New Castle County, Write-ins,WRI,0,Joe Biden
10,Delaware,Sussex County,Donald Trump,REP,71196,Joe Biden
11,Delaware,Sussex County,Joe Biden,DEM,56657,Joe Biden
12,Delaware,Sussex County,Jo Jorgensen,LIB,1003,Joe Biden
13,Delaware,Sussex County,Howie Hawkins,GRN,437,Joe Biden
14,District of Columbia,District of Columbia,Joe Biden,DEM,29509,Joe Biden
15,District of Columbia,District of Columbia,Donald Trump,REP,1149,Joe Biden
16,District of Columbia,District of Columbia, Write-ins,WRI,186,Joe Biden
17,District of Columbia,District of Columbia,Howie Hawkins,GRN,185,Joe Biden
18,District of Columbia,District of Columbia,Jo Jorgensen,LIB,134,Joe Biden
19,District of Columbia,District of Columbia,Gloria La Riva,PSL,73,Joe Biden
20,District of Columbia,District of Columbia,Brock Pierce,IND,24,Joe Biden
21,District of Columbia,Ward 2,Joe Biden,DEM,24247,Joe Biden
22,District of Columbia,Ward 2,Donald Trump,REP,2365,Joe Biden
23,District of Columbia,Ward 2, Write-ins,WRI,274,Joe Biden
24,District of Columbia,Ward 2,Jo Jorgensen,LIB,214,Joe Biden
25,District of Columbia,Ward 2,Howie Hawkins,GRN,92,Joe Biden
26,District of Columbia,Ward 2,Gloria La Riva,PSL,36,Joe Biden
27,District of Columbia,Ward 2,Brock Pierce,IND,31,Joe Biden
28,District of Columbia,Ward 3,Joe Biden,DEM,33584,Joe Biden
29,District of Columbia,Ward 3,Donald Trump,REP,2972,Joe Biden
30,District of Columbia,Ward 3, Write-ins,WRI,344,Joe Biden
31,District of Columbia,Ward 3,Jo Jorgensen,LIB,248,Joe Biden
32,District of Columbia,Ward 3,Howie Hawkins,GRN,128,Joe Biden
33,District of Columbia,Ward 3,Gloria La Riva,PSL,55,Joe Biden
34,District of Columbia,Ward 3,Brock Pierce,IND,46,Joe Biden
35,District of Columbia,Ward 4,Joe Biden,DEM,35117,Joe Biden
36,District of Columbia,Ward 4,Donald Trump,REP,1467,Joe Biden
37,District of Columbia,Ward 4, Write-ins,WRI,219,Joe Biden
38,District of Columbia,Ward 4,Howie Hawkins,GRN,186,Joe Biden
39,District of Columbia,Ward 4,Jo Jorgensen,LIB,100,Joe Biden
40,District of Columbia,Ward 4,Gloria La Riva,PSL,91,Joe Biden
41,District of Columbia,Ward 4,Brock Pierce,IND,43,Joe Biden
42,District of Columbia,Ward 5,Joe Biden,DEM,36585,Joe Biden
43,District of Columbia,Ward 5,Donald Trump,REP,1416,Joe Biden
44,District of Columbia,Ward 5, Write-ins,WRI,241,Joe Biden
45,District of Columbia,Ward 5,Howie Hawkins,GRN,216,Joe Biden
46,District of Columbia,Ward 5,Jo Jorgensen,LIB,157,Joe Biden
47,District of Columbia,Ward 5,Gloria La Riva,PSL,92,Joe Biden
48,District of Columbia,Ward 5,Brock Pierce,IND,71,Joe Biden
49,District of Columbia,Ward 6,Joe Biden,DEM,44699,Joe Biden
50,District of Columbia,Ward 6,Donald Trump,REP,3360,Joe Biden
51,District of Columbia,Ward 6, Write-ins,WRI,625,Joe Biden
52,District of Columbia,Ward 6,Jo Jorgensen,LIB,403,Joe Biden
53,District of Columbia,Ward 6,Howie Hawkins,GRN,166,Joe Biden
54,District of Columbia,Ward 6,Gloria La Riva,PSL,79,Joe Biden
55,District of Columbia,Ward 6,Brock Pierce,IND,62,Joe Biden
56,District of Columbia,Ward 7,Joe Biden,DEM,30253,Joe Biden
57,District of Columbia,Ward 7,Donald Trump,REP,885,Joe Biden
58,District of Columbia,Ward 7, Write-ins,WRI,209,Joe Biden
59,District of Columbia,Ward 7,Howie Hawkins,GRN,186,Joe Biden
60,District of Columbia,Ward 7,Brock Pierce,IND,112,Joe Biden
61,District of Columbia,Ward 7,Jo Jorgensen,LIB,91,Joe Biden
62,District of Columbia,Ward 7,Gloria La Riva,PSL,87,Joe Biden
63,District of Columbia,Ward 8,Joe Biden,DEM,24567,Joe Biden
64,District of Columbia,Ward 8,Donald Trump,REP,835,Joe Biden
65,District of Columbia,Ward 8, Write-ins,WRI,159,Joe Biden
66,District of Columbia,Ward 8,Howie Hawkins,GRN,143,Joe Biden
67,District of Columbia,Ward 8,Brock Pierce,IND,125,Joe Biden
68,District of Columbia,Ward 8,Gloria La Riva,PSL,107,Joe Biden
69,District of Columbia,Ward 8,Jo Jorgensen,LIB,102,Joe Biden
70,Florida,Alachua County,Joe Biden,DEM,89527,Donald Trump
71,Florida,Alachua County,Donald Trump,REP,50891,Donald Trump
72,Florida,Alachua County,Jo Jorgensen,LIB,1389,Donald Trump
73,Florida,Alachua County, Write-ins,WRI,461,Donald Trump
74,Florida,Alachua County,Howie Hawkins,GRN,301,Donald Trump
75,Florida,Alachua County,Gloria La Riva,PSL,94,Donald Trump
76,Florida,Alachua County,Rocky De La Fuente,ALI,69,Donald Trump
77,Florida,Alachua County,Don Blankenship,CST,52,Donald Trump
78,Florida,Baker County,Donald Trump,REP,11911,Donald Trump
79,Florida,Baker County,Joe Biden,DEM,2037,Donald Trump
80,Florida,Baker County,Jo Jorgensen,LIB,93,Donald Trump
81,Florida,Baker County, Write-ins,WRI,23,Donald Trump
