State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate,FIPS
Delaware,Kent County,40976,44518,7,0.007,10001
Delaware,New Castle County,87685,194238,11,0.004,10003
Delaware,Sussex County,71196,56657,3,0.002,10005
District of Columbia,District of Columbia,1149,29509,27,0.080,11000
District of Columbia,Ward 2,2365,24247,0,0.000,0
District of Columbia,Ward 3,2972,33584,0,0.000,0
District of Columbia,Ward 4,1467,35117,0,0.000,0
District of Columbia,Ward 5,1416,36585,0,0.000,0
District of Columbia,Ward 6,3360,44699,0,0.000,0
District of Columbia,Ward 7,885,30253,0,0.000,0
District of Columbia,Ward 8,835,24567,0,0.000,0
Florida,Alachua County,50891,89527,5,0.003,12001
Florida,Baker County,11911,2037,1,0.007,12003
Florida,Bay County,65993,25538,8,0.008,12005
Florida,Bradford County,10334,3160,2,0.013,12007
Florida,Brevard County,207700,148403,23,0.006,12009
Florida,Broward County,332960,617689,47,0.004,12011
Florida,Calhoun County,5269,1206,1,0.014,01015
Florida,Charlotte County,73202,42240,5,0.004,12015
Florida,Citrus County,65230,27049,8,0.008,12017
Florida,Clay County,84422,38248,5,0.004,01027
Florida,Collier County,128820,77529,3,0.001,12021
Florida,Columbia County,23819,8900,3,0.008,05027
Florida,DeSoto County,8292,4249,0,0.000,12027
Florida,Dixie County,6757,1364,2,0.022,12029
Florida,Duval County,233316,251952,47,0.009,12031
Florida,Escambia County,96573,70824,12,0.007,01053
Florida,Flagler County,42991,28124,1,0.001,12035
Florida,Franklin County,4675,2118,0,0.000,01059
Florida,Gadsden County,7461,16139,1,0.004,12039
Florida,Gilchrist County,7893,1700,1,0.009,12041
Florida,Glades County,3781,1384,0,0.000,12043
Florida,Gulf County,6111,1985,2,0.022,12045
Florida,Hamilton County,3811,1959,0,0.000,12047
Florida,Hardee County,6120,2291,0,0.000,12049
Florida,Hendry County,7898,4925,1,0.007,12051
Florida,Hernando County,70321,37446,10,0.008,12053
Florida,Highlands County,34787,16861,4,0.007,12055
Florida,Hillsborough County,326158,374714,34,0.004,12057
Florida,Holmes County,8074,924,1,0.010,12059
Florida,Indian River County,58797,37801,4,0.004,12061
Florida,Jackson County,15466,6749,2,0.008,01071
Florida,Jefferson County,4474,3893,0,0.000,01073
Florida,Lafayette County,3126,507,0,0.000,05073
Florida,Lake County,125687,83273,13,0.006,06033
Florida,Lee County,232075,156957,11,0.003,01081
Florida,Leon County,57384,103364,15,0.008,12073
Florida,Levy County,16721,6189,1,0.004,12075
Florida,Liberty County,2846,693,0,0.000,12077
Florida,Madison County,5576,3747,0,0.000,01089
Florida,Manatee County,124827,90007,13,0.005,12081
Florida,Marion County,127744,74802,9,0.004,01093
Florida,Martin County,61133,36873,3,0.003,12085
Florida,Miami-Dade County,532460,617289,83,0.007,0
Florida,Monroe County,25668,21848,3,0.006,01099
Florida,Nassau County,42502,15542,8,0.013,12089
Florida,Okaloosa County,79633,34165,6,0.005,12091
Florida,Okeechobee County,11460,4380,2,0.011,12093
Florida,Orange County,245162,394602,39,0.006,06059
Florida,Osceola County,73373,97157,4,0.002,12097
Florida,Palm Beach County,333927,432117,27,0.003,12099
Florida,Pasco County,179343,118767,12,0.004,12101
Florida,Pinellas County,275949,277191,33,0.005,12103
Florida,Polk County,194271,144775,22,0.006,05113
Florida,Putnam County,25496,10512,7,0.018,12107
Florida,St. Johns County,110886,63808,8,0.004,12109
Florida,St. Lucie County,86748,84005,10,0.005,12111
Florida,Santa Rosa County,77306,27560,5,0.004,12113
Florida,Sarasota County,148065,119892,7,0.002,12115
Florida,Seminole County,125035,132213,6,0.002,12117
Florida,Sumter County,62753,29326,3,0.003,01119
Florida,Suwannee County,16387,4480,0,0.000,12121
Florida,Taylor County,7725,2288,1,0.009,12123
Florida,Union County,5130,1052,0,0.000,05139
Florida,Volusia County,173544,130395,28,0.008,12127
Florida,Wakulla County,12868,5346,0,0.000,12129
Florida,Walton County,32924,10333,1,0.002,12131
Florida,Washington County,9869,2344,1,0.007,01129
Georgia,Appling County,6526,1779,0,0.000,13001
Georgia,Atkinson County,2300,825,1,0.029,13003
Georgia,Bacon County,4018,625,0,0.000,13005
Georgia,Baker County,897,652,0,0.000,12003
Georgia,Baldwin County,8903,9140,0,0.000,01003
Georgia,Banks County,7795,932,0,0.000,13011
Georgia,Barrow County,26794,10448,0,0.000,13013
Georgia,Bartow County,37623,12053,6,0.011,13015
Georgia,Ben Hill County,4110,2392,0,0.000,13017
Georgia,Berrien County,6409,1268,0,0.000,13019
Georgia,Bibb County,26506,43234,5,0.007,01007
Georgia,Bleckley County,4328,1311,1,0.016,13023
Georgia,Brantley County,6991,699,0,0.000,13025
Georgia,Brooks County,4260,2790,1,0.013,13027
Georgia,Bryan County,14244,6739,0,0.000,13029
Georgia,Bulloch County,18386,11243,2,0.006,13031
Georgia,Burke County,5400,5209,2,0.017,13033
Georgia,Butts County,8403,3271,2,0.016,13035
Georgia,Calhoun County,923,1259,1,0.042,01015
Georgia,Camden County,15251,7967,2,0.008,13039
Georgia,Candler County,3129,1257,0,0.000,13043
Georgia,Carroll County,37476,16238,4,0.007,05015
Georgia,Catoosa County,25142,6927,0,0.000,13047
Georgia,Charlton County,3419,1102,0,0.000,13049
Georgia,Chatham County,53173,78128,10,0.007,13051
Georgia,Chattahoochee County,879,667,0,0.000,13053
Georgia,Chattooga County,8064,1854,1,0.009,13055
Georgia,Cherokee County,99474,42683,3,0.002,01019
Georgia,Clarke County,14385,35882,3,0.005,01025
Georgia,Clay County,637,790,0,0.000,01027
Georgia,Clayton County,15671,94365,8,0.007,13063
Georgia,Clinch County,2105,747,1,0.032,13065
Georgia,Cobb County,164965,221234,20,0.005,13067
Georgia,Coffee County,10532,4463,1,0.006,01031
Georgia,Colquitt County,11776,4185,2,0.011,13071
Georgia,Columbia County,49952,29175,2,0.002,05027
Georgia,Cook County,4900,2059,1,0.013,13075
Georgia,Coweta County,51405,24072,5,0.006,13077
Georgia,Crawford County,4428,1615,1,0.015,05033
Georgia,Crisp County,4982,2980,0,0.000,13081
Georgia,Dade County,6066,1261,0,0.000,12025
Georgia,Dawson County,13393,2486,0,0.000,13085
Georgia,Decatur County,6758,4780,2,0.016,13087
Georgia,DeKalb County,57993,305197,24,0.006,01049
Georgia,Dodge County,5839,2170,0,0.000,13091
Georgia,Dooly County,2159,1911,0,0.000,13093
Georgia,Dougherty County,10419,24407,1,0.003,13095
Georgia,Douglas County,25308,42609,3,0.004,08035
Georgia,Early County,2719,2437,0,0.000,13099
Georgia,Echols County,1256,167,0,0.000,13101
Georgia,Effingham County,23340,7706,3,0.009,13103
Georgia,Elbert County,6226,2879,1,0.010,08039
Georgia,Emanuel County,6551,2884,0,0.000,13107
Georgia,Evans County,2888,1324,1,0.022,13109
Georgia,Fannin County,12144,2571,0,0.000,13111
Georgia,Fayette County,36316,31863,1,0.001,01057
Georgia,Floyd County,27059,10959,3,0.007,13115
Georgia,Forsyth County,85081,42177,6,0.004,13117
Georgia,Franklin County,9066,1593,1,0.009,01059
Georgia,Fulton County,135043,373569,35,0.006,05049
Georgia,Gilmer County,13382,2905,0,0.000,13123
Georgia,Glascock County,1403,155,0,0.000,13125
Georgia,Glynn County,25581,15857,3,0.007,13127
Georgia,Gordon County,19405,4384,2,0.008,13129
Georgia,Grady County,7027,3608,0,0.000,13131
